"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC102723746",1.57140987780943,0.68177902765348,1.32100770569876,0.516105261697053,0.605780893217422,0.753780632865036
"MIR1244-1",29.5565424561352,-0.483700556271942,0.937163393479067,-0.516132575853483,0.605761817343398,0.753780632865036
"LOC102724325",2.16660317706799,0.613620838472961,1.18873930226555,0.516194625098618,0.605718483906048,0.753780632865036
"LINC00470",1.87247246972551,1.21139546219916,2.34771405713328,0.515989355057299,0.605861843993892,0.753799778049543
"PIGK",623.916718288948,-0.0809041273002047,0.156813564494631,-0.515925567797261,0.605906395950874,0.75380996190323
"LOC101929530_1",2.18477543579004,0.576361766515281,1.11757633678933,0.515724740710867,0.606046672401426,0.75393922851619
"LOC100996756",18.2680663426252,-0.266951929353289,0.517831276097771,-0.515519130796739,0.606190304679444,0.754069819944668
"LOC101928689",6.2627554508847,-0.364544270952924,0.707207103713853,-0.515470318437898,0.606224405613563,0.754069819944668
"TMEM183B",48.9147776606423,-0.170994223583479,0.33176787285775,-0.51540320076982,0.606271296270333,0.754082894034892
"RNF111",802.704821732845,-0.0939295242660438,0.182400676511201,-0.514962587105731,0.606579164042811,0.754420551558826
"HLA-A",842.43587434805,-0.850168497745183,1.65125758441922,-0.514861221996571,0.606650000262905,0.754463383059309
"TNFRSF6B",1.75629788876341,0.675191036054337,1.31160639936278,0.51478174884048,0.606705540478944,0.754487187607844
"MYCL",300.979348169987,0.215725409838186,0.41925670786913,0.514542536324843,0.606872729064264,0.754631705005508
"WDR46_4",13.1101480847843,1.27303957210641,2.47426942620854,0.514511297202247,0.606894563992755,0.754631705005508
"KIAA1109",1982.14394784984,0.117431697211506,0.228272340571383,0.514436821025119,0.606946621351975,0.754651164740191
"LILRA4_2",3.54931842881605,0.666939545672997,1.29671900292121,0.514328504610894,0.607022335920307,0.754700034726255
"LOC100507577",167.976451855549,0.167276241970261,0.325339875809891,0.514158436785065,0.607141224031155,0.754802572525508
"OR10G2",1.75579121297084,-0.836098702694033,1.62759911244926,-0.513700638135546,0.607461305743338,0.75514368522035
"LOC102724979",7.21454619222481,0.395402976900428,0.76977299207153,0.513661795065532,0.607488467341245,0.75514368522035
"TMBIM4",1282.00631027732,0.101801173535946,0.198218222162878,0.513581306628283,0.607544751810258,0.755168362648299
"YY2",28.2755644430371,0.199563728865478,0.388719514431319,0.513387472088795,0.607680307214353,0.755291563706848
"KCTD18",393.903818299917,-0.0656563341813558,0.127936995775709,-0.513192714767667,0.607816521539118,0.755317748801104
"ZSCAN25",427.1371071615,-0.0650878250241393,0.126852902228598,-0.513096853762527,0.607883572245273,0.755317748801104
"ATP6V1F",794.842918781832,-0.129906173649416,0.253173425673118,-0.513111410899588,0.607873389933092,0.755317748801104
"HK1",1680.41433889106,-0.0938125230273316,0.182835429428822,-0.513098163306763,0.607882656252418,0.755317748801104
"CTC1",1786.23491426891,-0.154999128033055,0.302049681801562,-0.513157726598386,0.607840993896918,0.755317748801104
"DHRS4-AS1",314.437678192012,-0.100415156302026,0.19573090633532,-0.513026573994391,0.607932732056771,0.75533355332211
"ZDHHC14",278.588062273766,0.11873319614726,0.231461329554316,0.512972064819136,0.607970861757961,0.755335652272777
"MPO",92.7732163605358,0.624368005428613,1.21729855334861,0.512912796709624,0.608012321590077,0.755341888038305
"RHEBL1",43.0290889699065,-0.145518058550269,0.283944750654085,-0.512487229346759,0.608310055819262,0.755666477107855
"RAB22A",745.170602381184,-0.0864475683592271,0.168714725204386,-0.512388994229767,0.608378792019744,0.755706574038788
"LOC102723916",1.33978509478887,-0.723312316512178,1.41230482007243,-0.512150285286915,0.608545833731322,0.755868770468771
"LOC101927903",16.6398458892355,0.207012969384044,0.404253811286447,0.512086623810105,0.608590385667398,0.755878813237092
"IRF2",1605.53128374708,-0.11467838741922,0.224037417455679,-0.511871582531106,0.608740887814408,0.756020438742783
"GDPD3",119.808001161981,0.181368874182542,0.354478688175515,0.511649586371578,0.60889627489224,0.756168113711961
"C1orf173",19.4775128637946,-0.274747671328954,0.537087340823469,-0.511551195579675,0.6089651495562,0.756208340522461
"CCDC89",12.2929706181324,0.267366237040241,0.522872669128801,0.511341006761208,0.609112295712165,0.756345753640553
"TMC3",2.41708158691583,-0.511224082308286,0.999884815024675,-0.511282974425079,0.609152924994484,0.756350894290504
